taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
1946559	Flavobacterium sp. UBA7680	2	976	117743	200644	49546	237		1946559
1975676	Flavobacterium sp. ACN2	2	976	117743	200644	49546	237		1975676
1982593	Robiginitalea sediminis	2	976	117743	200644	49546	252306		1982593
1986608	Muricauda sp. TMED12	2	976	117743	200644	49546	111500		1986608
2008672	Avrilella dinanensis	2	976	117743	200644	49546	2774168		2008672
2015557	Flavobacterium sp. BFFFF1	2	976	117743	200644	49546	237		2015557
2015558	Flavobacterium sp. BFFFF2	2	976	117743	200644	49546	237		2015558
2022802	Flavobacterium cyanobacteriorum	2	976	117743	200644	49546	237		2022802
2023067	Flavobacterium aurantiibacter	2	976	117743	200644	49546	237		2023067
2026654	Flavobacterium luteum	2	976	117743	200644	49546	237		2026654
2026681	Flavobacterium foetidum	2	976	117743	200644	49546	237		2026681
2030799	Myroides sp. N17-2	2	976	117743	200644	49546	76831		2030799
2035199	Flavobacterium sp. 5	2	976	117743	200644	49546	237		2035199
2035200	Flavobacterium sp. 1	2	976	117743	200644	49546	237		2035200
2045105	Flavobacterium limi	2	976	117743	200644	49546	237		2045105
2058137	Polaribacter sp. ALD11	2	976	117743	200644	49546	52959		2058137
2058306	Tenacibaculum sp. Bg11-29	2	976	117743	200644	49546	104267		2058306
2058314	Flavobacterium sp. ALD4	2	976	117743	200644	49546	237		2058314
2060419	Flavobacterium sp. J27	2	976	117743	200644	49546	237		2060419
2080416	Flavobacterium alvei	2	976	117743	200644	49546	237		2080416
2100726	Polaribacter aquimarinus	2	976	117743	200644	49546	52959		2100726
2133765	Flavobacterium circumlabens	2	976	117743	200644	49546	237		2133765
2133766	Flavobacterium cupreum	2	976	117743	200644	49546	237		2133766
2135623	Flavobacterium sp. 102	2	976	117743	200644	49546	237		2135623
2135627	Flavobacterium sp. 123	2	976	117743	200644	49546	237		2135627
2135763	Flavobacterium sp. GV069	2	976	117743	200644	49546	237		2135763
2135764	Flavobacterium sp. GV029	2	976	117743	200644	49546	237		2135764
2162892	Muricauda brasiliensis	2	976	117743	200644	49546	111500		2162892
2169409	Flavobacterium laiguense	2	976	117743	200644	49546	237		2169409
2169410	Flavobacterium psychrotolerans	2	976	117743	200644	49546	237		2169410
2170732	Flavobacterium sp. HTF	2	976	117743	200644	49546	237		2170732
2175091	Flavobacterium album	2	976	117743	200644	49546	237		2175091
2183896	Flavobacterium crocinum	2	976	117743	200644	49546	237		2183896
2184000	Flavobacterium sp. AG291	2	976	117743	200644	49546	237		2184000
2201181	Flavobacterium sediminis	2	976	117743	200644	49546	237		2201181
2211445	Flavobacterium hydrophilum	2	976	117743	200644	49546	237		2211445
2213046	Robertkochia solimangrovi	2	976	117743	200644	49546	1649489		2213046
2219864	Sinomicrobium sp. N-1-3-6	2	976	117743	200644	49546	1434045		2219864
2233533	Flavobacterium tibetense	2	976	117743	200644	49546	237		2233533
2249356	Flavobacterium fluviale	2	976	117743	200644	49546	237		2249356
2259594	Flavobacterium petrolei	2	976	117743	200644	49546	237		2259594
2267611	Capnocytophaga felis	2	976	117743	200644	49546	1016		2267611
2269061	Polaribacter sp. WD7	2	976	117743	200644	49546	52959		2269061
2292706	Muricauda nanhaiensis	2	976	117743	200644	49546	111500		2292706
2304626	Polaribacter aestuariivivens	2	976	117743	200644	49546	52959		2304626
2306997	Muricauda aequoris	2	976	117743	200644	49546	111500		2306997
2306998	Muricauda maritima	2	976	117743	200644	49546	111500		2306998
2478552	Flavobacterium sp. 140616W15	2	976	117743	200644	49546	237		2478552
2488728	Flavobacterium tangerinum	2	976	117743	200644	49546	237		2488728
2488729	Flavobacterium viscosum	2	976	117743	200644	49546	237		2488729
2488790	Flavobacterium ustbae	2	976	117743	200644	49546	237		2488790
2494657	Polaribacter sp. ANORD1	2	976	117743	200644	49546	52959		2494657
2497485	Flavobacterium sp. RSP15	2	976	117743	200644	49546	237		2497485
2502784	Flavobacterium cerinum	2	976	117743	200644	49546	237		2502784
2506421	Flavobacterium stagni	2	976	117743	200644	49546	237		2506421
2506422	Flavobacterium amnicola	2	976	117743	200644	49546	237		2506422
2506424	Flavobacterium piscinae	2	976	117743	200644	49546	237		2506424
2508540	Polaribacter sp. IC073	2	976	117743	200644	49546	52959		2508540
2512113	Flavobacterium sp. P3160	2	976	117743	200644	49546	237		2512113
2512114	Flavobacterium sp. 270	2	976	117743	200644	49546	237		2512114
2512115	Flavobacterium sp. 245	2	976	117743	200644	49546	237		2512115
2517819	Muricauda sp. 176CP4-71	2	976	117743	200644	49546	111500		2517819
2518177	Flavobacterium sangjuense	2	976	117743	200644	49546	237		2518177
2529433	Flavobacterium silvisoli	2	976	117743	200644	49546	237		2529433
2529860	Flavobacterium sp. H122	2	976	117743	200644	49546	237		2529860
2530200	Muricauda alvinocaridis	2	976	117743	200644	49546	111500		2530200
2541724	Flavobacterium rhamnosiphilum	2	976	117743	200644	49546	237		2541724
2541731	Flavobacterium cellulosilyticum	2	976	117743	200644	49546	237		2541731
2541732	Flavobacterium caseinilyticum	2	976	117743	200644	49546	237		2541732
2541733	Flavobacterium sandaracinum	2	976	117743	200644	49546	237		2541733
2541734	Flavobacterium hiemivividum	2	976	117743	200644	49546	237		2541734
2562683	Flavobacterium humi	2	976	117743	200644	49546	237		2562683
2562684	Flagellimonas sp. XY-359	2	976	117743	200644	49546	444459		2562684
2572594	Myroides fluvii	2	976	117743	200644	49546	76831		2572594
2583815	Flagellimonas algicola	2	976	117743	200644	49546	444459		2583815
2587019	Flavobacterium sp. SG815	2	976	117743	200644	49546	237		2587019
2590449	Flavobacterium sp. I-STPP5a	2	976	117743	200644	49546	237		2590449
2594428	Flavobacterium restrictum	2	976	117743	200644	49546	237		2594428
2594429	Flavobacterium sp. ZT3R18	2	976	117743	200644	49546	237		2594429
2594432	Flavobacterium gawalongense	2	976	117743	200644	49546	237		2594432
2594437	Flavobacterium sp. GT3R68	2	976	117743	200644	49546	237		2594437
2596891	Flavobacterium microcysteis	2	976	117743	200644	49546	237		2596891
2597517	Muricauda sp. MT-229	2	976	117743	200644	49546	111500		2597517
2602769	Flavobacterium alkalisoli	2	976	117743	200644	49546	237		2602769
2608000	Flavobacterium baculatum	2	976	117743	200644	49546	237		2608000
2614441	Flavobacterium sp. LPB0248	2	976	117743	200644	49546	237		2614441
2653142	Flavobacterium sp. 9AF	2	976	117743	200644	49546	237		2653142
2654244	Flavobacterium sp. LMO8	2	976	117743	200644	49546	237		2654244
2654325	Flavobacterium sp. xlx-214	2	976	117743	200644	49546	237		2654325
2654675	Flagellimonas sp. HSM57	2	976	117743	200644	49546	444459		2654675
2654676	Flagellimonas sp. CMM7	2	976	117743	200644	49546	444459		2654676
2663843	Muricauda sp. ARW1Y1	2	976	117743	200644	49546	111500		2663843
2666330	Flavobacterium sp. LC2016-23	2	976	117743	200644	49546	237		2666330
2675875	Flavobacterium sp. LC2016-13	2	976	117743	200644	49546	237		2675875
2675876	Flavobacterium sp. LC2016-01	2	976	117743	200644	49546	237		2675876
2676308	Flavobacterium sp. MC2016-06	2	976	117743	200644	49546	237		2676308
2683200	Muricauda sp. TY007	2	976	117743	200644	49546	111500		2683200
2683249	Flavobacterium hydrocarbonoxydans	2	976	117743	200644	49546	237		2683249
2686361	Polaribacter sp. L3A8	2	976	117743	200644	49546	52959		2686361
2692211	Flavobacterium sp. Sd200	2	976	117743	200644	49546	237		2692211
2692212	Flavobacterium sp. HBTb2-11-1	2	976	117743	200644	49546	237		2692212
2692318	Flavobacterium ajazii	2	976	117743	200644	49546	237		2692318
2697515	Flavobacterium phycosphaerae	2	976	117743	200644	49546	237		2697515
2698672	Muricauda oceani	2	976	117743	200644	49546	111500		2698672
