taxID	name	level	branch_length	source
1860086	Flavobacterium sp. MedPE-SWcel	species	0	Phylogeny Only
1862387	Flavobacterium fluviatile	species	0	Phylogeny Only
1882758	Flavobacterium sp. CF108	species	0	Phylogeny Only
1908389	Tenacibaculum agarivorans	species	0	Phylogeny Only
1920034	Polaribacter tangerinus	species	0	Phylogeny Only
1920426	Flavobacterium sp. ACN6	species	0	Phylogeny Only
1929267	Flavobacterium sp. FPG59	species	0	Phylogeny Only
1929488	Croceivirga radicis	species	0	Phylogeny Only
1932779	Flavobacterium undicola	species	0	Phylogeny Only
1937528	[Flexibacter] sp. ATCC 35103	species	0	Phylogeny Only
1945862	Flavobacterium sp. A45	species	0	Phylogeny Only
1946543	Flavobacterium sp. UBA2787	species	0	Phylogeny Only
1946544	Flavobacterium sp. UBA4098	species	0	Phylogeny Only
1946553	Flavobacterium sp. UBA6135	species	0	Phylogeny Only
1946554	Flavobacterium sp. UBA6195	species	0	Phylogeny Only
1946556	Flavobacterium sp. UBA6721	species	0	Phylogeny Only
1946558	Flavobacterium sp. UBA7665	species	0	Phylogeny Only
1946559	Flavobacterium sp. UBA7680	species	0	Phylogeny Only
1975676	Flavobacterium sp. ACN2	species	0	Phylogeny Only
1982593	Robiginitalea sediminis	species	0	Phylogeny Only
1986608	Muricauda sp. TMED12	species	0	Phylogeny Only
2008672	Avrilella dinanensis	species	0	Phylogeny Only
2015557	Flavobacterium sp. BFFFF1	species	0	Phylogeny Only
2015558	Flavobacterium sp. BFFFF2	species	0	Phylogeny Only
2026654	Flavobacterium luteum	species	0	Phylogeny Only
2026681	Flavobacterium foetidum	species	0	Phylogeny Only
2030799	Myroides sp. N17-2	species	0	Phylogeny Only
2035200	Flavobacterium sp. 1	species	0	Phylogeny Only
2045105	Flavobacterium limi	species	0	Phylogeny Only
2058314	Flavobacterium sp. ALD4	species	0	Phylogeny Only
2100726	Polaribacter aquimarinus	species	0	Phylogeny Only
2135623	Flavobacterium sp. 102	species	0	Phylogeny Only
2135763	Flavobacterium sp. GV069	species	0	Phylogeny Only
2135764	Flavobacterium sp. GV029	species	0	Phylogeny Only
2169409	Flavobacterium laiguense	species	0	Phylogeny Only
2169410	Flavobacterium psychrotolerans	species	0	Phylogeny Only
2183896	Flavobacterium crocinum	species	0	Phylogeny Only
2184000	Flavobacterium sp. AG291	species	0	Phylogeny Only
2201181	Flavobacterium sediminis	species	0	Phylogeny Only
2211445	Flavobacterium hydrophilum	species	0	Phylogeny Only
2213046	Robertkochia solimangrovi	species	0	Phylogeny Only
2219864	Sinomicrobium sp. N-1-3-6	species	0	Phylogeny Only
2259594	Flavobacterium petrolei	species	0	Phylogeny Only
2267611	Capnocytophaga felis	species	0	Phylogeny Only
2269061	Polaribacter sp. WD7	species	0	Phylogeny Only
2292706	Muricauda nanhaiensis	species	0	Phylogeny Only
2304626	Polaribacter aestuariivivens	species	0	Phylogeny Only
2306997	Muricauda aequoris	species	0	Phylogeny Only
2488728	Flavobacterium tangerinum	species	0	Phylogeny Only
2488729	Flavobacterium viscosum	species	0	Phylogeny Only
2488790	Flavobacterium ustbae	species	0	Phylogeny Only
2494657	Polaribacter sp. ANORD1	species	0	Phylogeny Only
2497485	Flavobacterium sp. RSP15	species	0	Phylogeny Only
2502784	Flavobacterium cerinum	species	0	Phylogeny Only
2506421	Flavobacterium stagni	species	0	Phylogeny Only
2506424	Flavobacterium piscinae	species	0	Phylogeny Only
2508540	Polaribacter sp. IC073	species	0	Phylogeny Only
2512113	Flavobacterium sp. P3160	species	0	Phylogeny Only
2512114	Flavobacterium sp. 270	species	0	Phylogeny Only
2517819	Muricauda sp. 176CP4-71	species	0	Phylogeny Only
